ROI,beta,pval,ci_lower,ci_upper,cohen_d
L0,3.4133150132366263,0.8045846259333127,-23.625826552090906,30.45245657856416,0.04554538881373947
L100,0.07071962171991457,0.7209759465978511,-0.31736958919929215,0.4588088326391213,0.10379789676780592
L101,0.0194082660307052,0.9150935347943128,-0.3373811648026867,0.37619769686409715,0.029143572112450715
L102,-0.006448479256364851,0.9479845322592668,-0.20018209315955415,0.18728513464682445,-0.019027775999497457
L103,0.09813034367812817,0.28186382362508056,-0.08059325140967308,0.27685393876592945,0.3088025875640649
L104,-0.018594733717865592,0.8212433706980562,-0.17989432819371826,0.14270486075798705,-0.06588930302369415
L105,-0.06805639079216234,0.009155126506487418,-0.1192373229659042,-0.0168754586184205,-0.271590236429967
L106,0.20975452153332388,0.4532986166584939,-0.3384471799779797,0.7579562230446274,0.2088271835552127
L107,-0.12639441377388974,0.6743131153339907,-0.7158930405070689,0.4631042129592895,-0.11541344800483662
L108,-0.0539598420402357,0.5686058357962528,-0.23946807241311635,0.13154838833264498,-0.12345712089447124
L109,0.006011935912160819,0.9583706529584721,-0.21972660502733765,0.23175047685165928,0.014143067815424511
L11,-0.15349950405219176,0.10901872419370061,-0.3412256187878795,0.034226610683495945,-0.4568499664731312
L112,0.01877590703619495,0.8425793281895787,-0.1665260665512717,0.20407788062366158,0.04661515501413956
L113,0.0914418361279061,0.38613805997250106,-0.11535942100698865,0.29824309326280085,0.23266702676917836
L114,0.013823177685291599,0.919714584264257,-0.2549738903085365,0.28262024567911975,0.026556665889944278
L115,0.09938452691612769,0.44761532364874057,-0.1571218670444542,0.3558909208767096,0.185322235074399
L116,-0.08480756962084889,0.13579639815311745,-0.19624263018864,0.026627490946942223,-0.33816028455940195
L117,-0.020231590762705417,0.7277112113396925,-0.1341213322976988,0.09365815077228797,-0.10200257952714911
L118,-0.05315058087453445,0.41298597439628015,-0.18040055253641343,0.07409939078734454,-0.22695233029073708
L119,0.04032435644167565,0.5199437968354911,-0.08250801899330823,0.16315673187665952,0.1768210377032359
L120,0.010552040473022859,0.9212112267456266,-0.19854727938628314,0.21965136033232885,0.023321382849870557
L121,-0.10883983306657792,0.25188921569954004,-0.29502174658074864,0.07734208044759279,-0.30532213605340847
L122,0.13427198944569113,0.4730821934580596,-0.23252676921413196,0.5010707481055142,0.1834096385176413
L123,0.07410646772227537,0.572367040449209,-0.1831624220215064,0.3313753574660571,0.09669409027849149
L124,-0.030461112038328547,0.5857385173835548,-0.1400029347928095,0.07908071071615241,-0.15942233096611025
L125,0.060032384880417754,0.0507979980177449,-0.00020843977904686645,0.12027320953988238,0.3419652870258333
L128,-0.275619368359354,0.2941742150249902,-0.790585686696728,0.23934694997801992,-0.30728267597027314
L129,0.021198086373143056,0.9190027360629177,-0.3873719194064003,0.42976809215268647,0.02783538344866246
L132,0.046023789025973434,0.8778814933599359,-0.5410366019448462,0.6330841799967931,0.04014458679903604
L133,-0.0013736150903463367,0.9946685576339982,-0.4042810255486173,0.4015337953679246,-0.0015833474292073675
L134,0.0013638578244659877,0.9946884284104104,-0.40017816735812856,0.4029058830070605,0.001625025457700686
L135,-0.26474411207472015,0.2647482897495693,-0.7300158791923552,0.20052765504291487,-0.29021494395657293
L136,-0.04900042012258678,0.5545106704654498,-0.2114990562096789,0.11349821596450534,-0.15054236371877663
L137,-0.05818725492850374,0.3505477552470211,-0.18035284959198047,0.063978339734973,-0.18959172454265213
L138,-0.09180863920613666,0.4959126958675778,-0.356065371229766,0.17244809281749265,-0.1787413502726214
L139,0.05922678585569976,0.7117018200784722,-0.2548731380817658,0.3733267097931653,0.1082645122434559
L140,0.007575820209470402,0.9014559570780372,-0.11234064131215121,0.127492281731092,0.0355012781065875
L141,0.0695488457967989,0.1669185164303153,-0.029073547962185295,0.16817123955578311,0.4044834635960889
L142,-0.022776853826060615,0.9620897324034989,-0.9619843133281262,0.9164306056760049,-0.013243216023931328
L143,-0.004620728101596431,0.9653372236623085,-0.2130211259527972,0.20377966974960432,-0.002789201970988844
L144,0.5530049257481623,0.000755826539518296,0.23123715564167496,0.8747726958546496,0.9480634548390998
L145,0.1860353213808741,0.39437835729163007,-0.24207408851952353,0.6141447312812718,0.24949370738063806
L146,0.07005231548648425,0.4664301371346722,-0.11846899335437097,0.25857362432733944,0.1855853159992327
L147,-0.008912098991382693,0.9245582783955119,-0.19337452184666976,0.17555032386390435,-0.02546909840368851
L148,0.017805170193522662,0.7019557990257471,-0.07338678926741637,0.1089971296544617,0.08577333386655495
L149,-0.0015127443462800729,0.9666372612378396,-0.07239954618236605,0.06937405748980591,-0.009425219379767072
L150,-0.18130904947308998,0.003272541679899819,-0.30214230497360106,-0.060475793972578906,-0.48073500818004616
L151,-0.18793241506931643,0.015843562542515965,-0.34061256148943975,-0.03525226864919312,-0.6408357208999544
L152,-0.1724107981642963,0.4028607333999604,-0.5763673515780988,0.23154575524950619,-0.2200889630854491
L153,-0.05225602068907273,0.7939893719389768,-0.44446852380736845,0.33995648242922305,-0.07239770526323384
L154,-0.025896217398024047,0.9371885300873074,-0.669970879304215,0.6181784445081668,-0.021080023670570765
L155,0.22376502148342756,0.5006030466901794,-0.427377600427307,0.8749076433941622,0.19606642494197032
L156,0.05314447013666914,0.5559219164688866,-0.12372689886704949,0.23001583914038778,0.16990097877497368
L157,0.2656280007105419,0.024540068338921982,0.03409327102181023,0.4971627303992735,0.6181186378029231
L160,0.12042059709627861,0.320735523091184,-0.11727578171621081,0.358116975908768,0.2403675501568448
L161,0.17319564911091248,0.29502280055363794,-0.1509717491711379,0.4973630473929629,0.3056766301556466
L162,0.06182372281897908,0.6491499548306284,-0.20452208778768388,0.32816953342564203,0.12291780384955875
L163,0.18622428933418614,0.1813320601000291,-0.08683810164559566,0.4592866803139679,0.39061954925297904
L164,0.00763037740756369,0.9099679751739641,-0.12462471401781146,0.13988546883293884,0.025446336197313783
L165,0.03462260106289295,0.650732551767293,-0.11526108301962737,0.18450628514541326,0.13207331280156437
L166,0.10962344223097543,0.3951703997116983,-0.14306795120123827,0.3623148356631891,0.228245951978323
L167,0.1179856452057979,0.36282211614313253,-0.13613240492492468,0.3721036953365205,0.2572574186159684
L168,-0.3549280241142573,0.10135632008531407,-0.7795391616734948,0.0696831134449803,-0.4124726357539134
L169,-0.3778406117616257,0.22002651499393044,-0.9816560067559377,0.22597478323268633,-0.3590445070186966
L170,0.018705048252930498,0.7861679188240278,-0.11643154787537512,0.1538416443812361,0.07188856164516212
L171,0.02515629063513686,0.7492247225752868,-0.12908617442367942,0.17939875569395314,0.08532071314949069
