ROI,beta_int,pval_int,ci_lower,ci_upper,cohen_d
L0,-0.6210805081481681,0.9835308885557457,-61.08992096953282,59.84775995323648,-0.006660549864294414
L100,-0.02060130267406074,0.9337599484373349,-0.5187290523745587,0.47752644702643726,-0.026819320594540327
L101,0.09600784034045381,0.7327888040600818,-0.4687183089447403,0.660733989625648,0.1102459458095031
L102,0.05941282155731306,0.6674277021788937,-0.21814930985074252,0.3369749529653686,0.13880777381746343
L103,0.0059002936656612215,0.9668806614320091,-0.2796931943991122,0.2914937817304346,0.013397357672842378
L104,0.08735806463854004,0.4226630256906254,-0.1306969695087941,0.3054130987858742,0.2597949540114206
L105,0.04500240911560621,0.7145869739069031,-0.20210009057593964,0.29210490880715206,0.11810069403990951
L106,0.44095212539761985,0.33601736561882933,-0.474685863926282,1.3565901147215218,0.3122924338107335
L107,0.07188687090652801,0.8766754213832747,-0.8589590043709584,1.0027327461840145,0.050080150629399425
L108,0.02837169283694331,0.886432774041104,-0.3708244901035665,0.4275678757774531,0.04608851280901292
L109,0.051539600401136615,0.7664333078597907,-0.29697307789512484,0.400052278697398,0.09589948844075381
L11,-0.026494920245035407,0.8614831192756374,-0.3316080792037027,0.2786182387136319,-0.056311293479363055
L112,0.0415948834100702,0.833928242316341,-0.35700187655142834,0.4401916433715687,0.06767059144011663
L113,0.04948478424735797,0.7807566289974642,-0.30765202583157164,0.4066215943262876,0.08985265016368747
L114,0.06952151039357371,0.7384540083038853,-0.34862949429783485,0.4876725150849823,0.10781517181135915
L115,0.051855985788800574,0.8281963902763974,-0.42823308698132706,0.5319450585589283,0.07004399342270458
L116,-0.04956791522707435,0.624521827071633,-0.25278589973323773,0.153650069279089,-0.158172995218291
L117,0.017755430568846667,0.8053899767701338,-0.12702342120608084,0.1625342823437742,0.07952797156632797
L118,-0.0481449449588907,0.5782634427171247,-0.22184970296319412,0.12555981304541275,-0.17973506170952624
L119,0.025096814164480313,0.772409010538123,-0.149201369948645,0.19939499827760562,0.09337262263975776
L120,-0.13378529460969663,0.33959009222181524,-0.413677593889899,0.14610700467050575,-0.30996399850096823
L121,-0.12811512231636546,0.37805415106838625,-0.4187450061446542,0.1625147615119233,-0.285860370551835
L122,0.05597692809100657,0.8427965598589344,-0.5111535084821439,0.623107364664157,0.06400588857075133
L123,-0.04996440463669777,0.8654544009442314,-0.6425108372328043,0.5425820279594087,-0.05468045933072889
L124,-0.005791854156261919,0.9310993873122432,-0.1404146527744306,0.12883094446190674,-0.02789926922664866
L125,0.07560622134694871,0.19522067389408299,-0.04043146619852349,0.1916439088924209,0.4225248858538513
L128,-0.031184494710895655,0.9162784291025361,-0.6273363568543489,0.5649673674325575,-0.0339215455601032
L129,-0.02389578496538808,0.9259859817686897,-0.5408412223154586,0.4930496523846824,-0.029975774983901724
L132,0.2649602551934894,0.4081131324055336,-0.3759217067443349,0.9058422171313137,0.2680998124883042
L133,0.06604403068500037,0.8327335461819978,-0.5622547010553431,0.694342762425344,0.06816496444604718
L134,0.01887801581550691,0.956408998161757,-0.6752200279451237,0.7129760595761374,0.017637188246815958
L135,0.14031074715567354,0.7506834665202469,-0.74660659221036,1.0272280865217072,0.10258919378134423
L136,0.02897825058300249,0.8022330101978579,-0.20345926924316338,0.26141577040916836,0.08084622685298591
L137,-0.049100648847599654,0.6564434558677887,-0.27065648228194855,0.17245518458674924,-0.1437135995150256
L138,-0.10542037767986603,0.6716332802027614,-0.6046421815931821,0.39380142623345005,-0.13693827336903605
L139,-0.09897986615739077,0.6727834858501239,-0.569456220303651,0.3714964879888695,-0.13642780329630239
L140,0.06805800705469914,0.4387638944441644,-0.1079112343150331,0.24402724842443138,0.2508050580850379
L141,0.10070576216524868,0.2067929706106214,-0.0579632565387129,0.2593747808692103,0.4115816556977388
L142,0.3731359891979451,0.6023828643048686,-1.0637768232816314,1.8100488016775216,0.1683955252440571
L143,0.3316416592925553,0.619764830464961,-1.0095146393892789,1.6727979579743895,0.1603553709796538
