ROI,mean_%,sd_%,median_%,n_up,n_down,normal_p,test,p,rho,cohen_d
L0,+4.41,8.35,+0.04,21,13,0.000,wilcoxon,0.02167,-0.39,
L4,-2.07,13.91,-1.17,14,20,0.394,paired_t,0.1543,,-0.15
L11,-3.52,13.17,-3.45,9,25,0.016,wilcoxon,0.0238,-0.39,
L23,+76.42,325.58,-0.48,16,18,0.000,wilcoxon,0.7681,-0.05,
L30,+23.87,84.33,+3.09,20,14,0.000,wilcoxon,0.3482,-0.16,
L31,+inf,nan,+4.69,21,13,1.000,paired_t,0.03994,,nan
L32,+10.60,35.79,+2.68,21,13,0.000,wilcoxon,0.1266,-0.26,
L35,+0.28,2.70,+0.82,20,14,0.097,paired_t,0.6242,,0.10
L36,+2.14,8.19,+2.27,22,12,0.001,wilcoxon,0.08149,-0.30,
L37,+3.23,8.30,+1.57,24,10,0.006,wilcoxon,0.01706,-0.41,
L38,+3.17,6.21,+3.15,26,8,0.210,paired_t,0.004647,,0.51
L39,+2.61,6.34,+0.84,21,13,0.013,wilcoxon,0.02167,-0.39,
L40,+3.09,8.87,+1.58,19,15,0.382,paired_t,0.08557,,0.35
L41,+1.77,11.10,+0.16,18,16,0.062,paired_t,0.5343,,0.16
L44,+1.86,13.25,-0.10,16,18,0.010,wilcoxon,0.6232,-0.08,
L45,+1.90,13.98,-0.41,16,18,0.012,wilcoxon,0.9075,-0.02,
L47,+3.59,25.97,-0.23,15,19,0.000,wilcoxon,0.6487,-0.08,
L48,+1.31,7.98,+0.91,21,13,0.008,wilcoxon,0.396,-0.15,
L49,+0.01,36.40,-0.91,15,19,0.000,wilcoxon,0.3127,-0.17,
L50,-7.55,21.63,-4.10,13,21,0.006,wilcoxon,0.02993,-0.37,
L51,-2.88,9.88,-2.22,10,24,0.133,paired_t,0.02255,,-0.29
L52,-2.72,9.50,-3.06,13,21,0.675,paired_t,0.03779,,-0.29
L55,+30.41,166.70,+1.32,18,16,0.000,wilcoxon,0.7208,-0.06,
L56,+7.83,18.14,+4.20,24,10,0.000,wilcoxon,0.01034,-0.44,
L57,+5.69,16.03,+1.40,20,14,0.000,wilcoxon,0.04634,-0.34,
L58,+3.28,9.84,+2.30,22,12,0.001,wilcoxon,0.02272,-0.39,
L59,+0.42,6.30,+0.18,19,15,0.052,paired_t,0.8946,,0.07
L60,+0.58,4.76,+0.77,22,12,0.003,wilcoxon,0.2278,-0.21,
L61,+0.30,6.63,-0.03,16,18,0.000,wilcoxon,0.9501,-0.01,
L62,+0.22,4.39,+0.23,18,16,0.068,paired_t,0.9647,,0.05
L71,+1.03,11.50,+1.68,20,14,0.005,wilcoxon,0.5259,-0.11,
L72,+1.27,25.11,+1.32,20,14,0.000,wilcoxon,0.437,-0.13,
L73,+2.02,7.63,+1.83,24,10,0.000,wilcoxon,0.0238,-0.39,
L75,+22.99,121.40,+4.63,20,14,0.000,wilcoxon,0.6106,-0.09,
L76,+inf,nan,+5.72,21,13,1.000,paired_t,0.0136,,nan
L100,+4.64,10.73,+3.08,22,12,0.080,paired_t,0.04051,,0.43
L101,+5.54,17.45,+3.09,23,11,0.000,wilcoxon,0.03131,-0.37,
L102,+4.44,9.89,+2.32,23,11,0.000,wilcoxon,0.005462,-0.48,
L103,+3.53,8.30,+1.98,25,9,0.000,wilcoxon,0.003585,-0.50,
L104,+4.46,21.14,+2.46,19,15,0.000,wilcoxon,0.2877,-0.18,
L105,+0.80,20.16,-0.24,16,18,0.006,wilcoxon,0.7818,-0.05,
L106,+0.85,9.97,-0.48,15,19,0.000,wilcoxon,0.8372,-0.04,
L107,+0.93,8.81,+0.91,19,15,0.160,paired_t,0.7968,,0.11
L108,+0.93,12.21,-0.25,16,18,0.000,wilcoxon,0.5614,-0.10,
L109,-0.16,7.24,-0.28,14,20,0.279,paired_t,0.6395,,-0.02
L112,+2.58,5.46,+2.61,24,10,0.305,paired_t,0.01262,,0.47
L113,+3.66,8.30,+3.76,23,11,0.387,paired_t,0.03925,,0.44
L114,+0.64,7.96,+0.12,17,17,0.004,wilcoxon,0.9851,-0.00,
L115,+1.25,7.78,+0.47,18,16,0.207,paired_t,0.4098,,0.16
L116,+54.76,223.19,+4.98,22,12,0.000,wilcoxon,0.1098,-0.27,
