ROI,mean_%,sd_%,median_%,n_up,n_down,normal_p,test,p,cohen_d,rho
L0,-0.06,0.31,-0.07,14,19,0.110,paired_t,0.2614,-0.20,
L4,-1.66,9.83,-2.70,11,22,0.434,paired_t,0.2561,-0.17,
L11,-1.54,12.04,-2.40,12,21,0.032,wilcoxon,0.2208,,-0.21
L23,+47.09,251.16,+3.02,22,11,0.000,wilcoxon,0.3483,,-0.16
L30,+7.98,33.22,+1.57,18,15,0.000,wilcoxon,0.3862,,-0.15
L31,+4.73,18.69,+3.40,21,12,0.000,wilcoxon,0.1348,,-0.26
L32,+2.79,13.41,+0.88,20,13,0.466,paired_t,0.3307,0.21,
L35,-0.04,1.86,+0.30,18,15,0.330,paired_t,0.8995,-0.02,
L36,+1.39,7.00,+3.14,19,14,0.020,wilcoxon,0.1007,,-0.29
L37,+2.96,6.93,+1.91,20,13,0.459,paired_t,0.02627,0.43,
L38,+1.89,3.89,+1.74,22,11,0.246,paired_t,0.006981,0.49,
L39,+1.15,3.90,+1.06,22,11,0.623,paired_t,0.1294,0.30,
L40,+1.62,7.01,+0.05,17,16,0.000,wilcoxon,0.5843,,-0.10
L41,+0.45,6.72,-1.41,13,20,0.007,wilcoxon,0.8601,,-0.03
L44,+0.25,6.02,+0.17,17,16,0.089,paired_t,0.92,0.04,
L45,+0.53,6.58,-0.02,16,17,0.746,paired_t,0.7339,0.08,
L47,-0.98,4.55,-0.16,16,17,0.192,paired_t,0.1865,-0.22,
L48,+0.02,4.97,+1.34,20,13,0.003,wilcoxon,0.5135,,-0.11
L49,-5.63,23.86,-4.96,12,21,0.416,paired_t,0.2211,-0.24,
L50,-10.33,28.66,-9.38,10,23,0.001,wilcoxon,0.009303,,-0.45
L51,-2.56,9.36,-3.34,13,20,0.081,paired_t,0.02867,-0.27,
L52,-2.83,8.93,-3.44,13,20,0.241,paired_t,0.04031,-0.32,
L55,-3.20,11.16,-1.00,13,20,0.035,wilcoxon,0.09332,,-0.29
L56,+1.02,6.38,-0.42,15,18,0.008,wilcoxon,0.7376,,-0.06
L57,+2.37,7.35,+1.42,19,14,0.003,wilcoxon,0.04434,,-0.35
L58,+1.65,6.08,+1.92,21,12,0.057,paired_t,0.1886,0.27,
L59,+0.55,3.00,-0.21,16,17,0.370,paired_t,0.3925,0.18,
L60,+0.39,3.17,+0.53,18,15,0.348,paired_t,0.6125,0.12,
L61,-0.90,3.02,-0.84,14,19,0.102,paired_t,0.08183,-0.30,
L62,-0.59,2.75,-1.18,14,19,0.281,paired_t,0.1964,-0.21,
L71,+0.82,6.09,+0.87,19,14,0.000,wilcoxon,0.1948,,-0.23
L72,-0.40,16.15,+1.28,20,13,0.000,wilcoxon,0.4798,,-0.12
L73,+2.07,7.54,+1.81,21,12,0.000,wilcoxon,0.04343,,-0.35
L75,+1.75,20.40,+2.50,21,12,0.062,paired_t,0.5366,0.09,
L76,+12.12,38.34,+6.71,21,12,0.000,wilcoxon,0.04541,,-0.35
L100,+1.86,8.30,+2.99,23,10,0.177,paired_t,0.5853,0.22,
L101,+2.43,8.78,+2.89,24,9,0.001,wilcoxon,0.02412,,-0.39
L102,+1.52,5.21,+1.75,23,10,0.038,wilcoxon,0.0266,,-0.39
L103,+1.10,7.20,+0.91,22,11,0.001,wilcoxon,0.1168,,-0.27
L104,+3.86,16.38,+2.28,19,14,0.000,wilcoxon,0.1906,,-0.23
L105,-0.04,14.31,-1.66,13,20,0.013,wilcoxon,0.4161,,-0.14
L106,+2.72,5.12,+1.97,22,11,0.207,paired_t,0.004385,0.53,
L107,+0.84,8.28,+0.90,18,15,0.126,paired_t,0.7911,0.10,
L108,+1.19,9.61,+1.62,19,14,0.273,paired_t,0.638,0.12,
L109,+1.56,5.88,+2.30,18,15,0.361,paired_t,0.1958,0.27,
L112,+0.99,6.80,+1.87,23,10,0.024,wilcoxon,0.1768,,-0.24
L113,+1.94,5.89,+1.91,22,11,0.335,paired_t,0.1329,0.33,
L114,+1.22,6.14,+0.98,18,15,0.310,paired_t,0.313,0.20,
L115,+1.41,5.73,+1.75,20,13,0.014,wilcoxon,0.08638,,-0.30
L116,-0.36,18.83,+0.78,18,15,0.004,wilcoxon,0.7243,,-0.06
L117,+0.88,9.28,+0.45,17,16,0.226,paired_t,0.6687,0.09,
L118,-1.90,9.08,-2.39,13,20,0.007,wilcoxon,0.296,,-0.18
L119,+2.34,10.47,+3.54,18,15,0.022,wilcoxon,0.1255,,-0.27
L120,-3.17,12.39,-0.65,15,18,0.011,wilcoxon,0.2878,,-0.19
L121,-3.21,10.42,-1.12,14,19,0.020,wilcoxon,0.2011,,-0.22
L122,+1.25,5.07,+1.47,21,12,0.163,paired_t,0.3095,0.25,
L123,-0.04,5.61,+0.81,19,14,0.092,paired_t,0.6796,-0.01,
L124,+0.12,9.60,-0.97,14,19,0.128,paired_t,0.8709,0.01,
L125,+3.39,6.99,+3.79,24,9,0.192,paired_t,0.007844,0.49,
L128,+0.71,5.20,+0.88,19,14,0.781,paired_t,0.5005,0.14,
L129,+0.58,6.27,+0.87,17,16,0.523,paired_t,0.6088,0.09,
L132,+1.91,6.31,+1.50,21,12,0.061,paired_t,0.1325,0.30,
L133,+0.18,5.66,-0.47,15,18,0.325,paired_t,0.8803,0.03,
L134,+0.63,5.36,+0.65,22,11,0.324,paired_t,0.4899,0.12,
L135,+1.12,7.00,+0.60,21,12,0.000,wilcoxon,0.1655,,-0.24
L136,-0.48,15.50,+1.06,17,16,0.004,wilcoxon,0.672,,-0.07
L137,-1.52,14.48,+1.41,19,14,0.147,paired_t,0.3679,-0.10,
L138,+0.23,7.83,+1.55,21,12,0.001,wilcoxon,0.2276,,-0.21
L139,+0.01,5.64,+0.57,19,14,0.200,paired_t,0.6971,0.00,
L140,+4.86,16.27,+1.26,20,13,0.000,wilcoxon,0.2208,,-0.21
L141,+4.61,12.59,+3.33,18,15,0.035,wilcoxon,0.08306,,-0.30
L142,+1.62,4.21,+0.80,18,15,0.149,paired_t,0.03899,0.38,
L143,+1.09,3.49,+1.40,21,12,0.656,paired_t,0.07646,0.31,
L144,+2.58,8.73,-0.15,16,17,0.001,wilcoxon,0.3043,,-0.18
L145,+3.16,7.04,+1.85,20,13,0.012,wilcoxon,0.05753,,-0.33
L146,-0.06,8.88,-1.14,15,18,0.729,paired_t,0.7726,-0.01,
L147,-0.06,8.46,-0.13,16,17,0.207,paired_t,0.7203,-0.01,
L148,-3.56,16.02,-3.92,9,24,0.000,wilcoxon,0.009844,,-0.45
L149,+0.97,20.44,+1.50,18,15,0.051,paired_t,0.9785,0.05,
L150,-1.20,16.07,+0.22,17,16,0.000,wilcoxon,0.7243,,-0.06
L151,+0.02,18.53,+2.00,19,14,0.000,wilcoxon,0.3575,,-0.16
L152,-0.96,11.32,+1.09,19,14,0.000,wilcoxon,0.5965,,-0.09
L153,+0.68,9.99,+1.88,20,13,0.011,wilcoxon,0.4264,,-0.14
L154,+0.67,6.87,+0.26,17,16,0.716,paired_t,0.846,0.10,
L155,+1.44,5.43,-0.34,16,17,0.199,paired_t,0.1729,0.27,
L156,+1.99,11.70,+3.29,22,11,0.052,paired_t,0.4287,0.17,
L157,-0.35,10.47,-0.42,16,17,0.921,paired_t,0.5676,-0.03,
L160,+2.44,11.60,+2.57,20,13,0.969,paired_t,0.4142,0.21,
L161,+0.93,12.33,-0.69,16,17,0.014,wilcoxon,0.8187,,-0.04
L162,+2.42,14.46,+1.19,19,14,0.000,wilcoxon,0.4161,,-0.14
L163,+3.70,6.89,+2.47,22,11,0.011,wilcoxon,0.008298,,-0.46
L164,+5.64,34.89,+0.21,17,16,0.000,wilcoxon,0.5483,,-0.10
L165,+3.53,10.77,+4.58,20,13,0.164,paired_t,0.1331,0.33,
L166,+1.55,5.82,+1.47,19,14,0.974,paired_t,0.1414,0.27,
L167,+0.76,5.08,+0.23,17,16,0.727,paired_t,0.6445,0.15,
L168,+0.00,4.55,-0.08,16,17,0.315,paired_t,0.9069,0.00,
L169,+1.19,4.69,+1.18,21,12,0.203,paired_t,0.1685,0.25,
L170,+2.66,7.75,+2.33,24,9,0.040,wilcoxon,0.01229,,-0.44
L171,+0.22,7.55,+0.48,18,15,0.149,paired_t,0.9087,0.03,
L172,+1.77,6.11,+1.11,20,13,0.374,paired_t,0.1515,0.29,
L173,+1.71,6.67,+1.31,22,11,0.350,paired_t,0.2483,0.26,
L174,+0.17,8.15,+1.15,19,14,0.001,wilcoxon,0.3043,,-0.18
L175,+1.88,7.12,+2.70,19,14,0.047,wilcoxon,0.1711,,-0.24
L176,-0.15,4.90,+0.04,17,16,0.079,paired_t,0.6837,-0.03,
L177,-0.50,5.89,+0.37,17,16,0.504,paired_t,0.618,-0.08,
L178,+1.65,22.87,-2.24,12,21,0.000,wilcoxon,0.04635,,-0.35
L179,+1.79,14.51,-0.17,15,18,0.000,wilcoxon,0.8739,,-0.03
L180,-0.59,7.34,+0.05,17,16,0.638,paired_t,0.486,-0.08,
L181,-0.42,8.10,+0.61,17,16,0.002,wilcoxon,0.8879,,-0.02
L182,-0.71,5.33,-0.56,13,20,0.381,paired_t,0.3913,-0.13,
L183,+0.18,6.13,-0.18,16,17,0.123,paired_t,0.9624,0.03,
L184,-0.13,8.39,-1.09,15,18,0.328,paired_t,0.6473,-0.02,
L185,-0.56,5.58,+1.11,19,14,0.062,paired_t,0.6203,-0.10,
L186,-0.70,8.97,-1.75,16,17,0.781,paired_t,0.4365,-0.08,
L187,+1.00,10.68,+0.85,18,15,0.751,paired_t,0.8614,0.09,
L190,+0.68,7.13,+0.62,19,14,0.027,wilcoxon,0.4368,,-0.14
L191,+0.75,5.68,+1.51,20,13,0.623,paired_t,0.5156,0.13,
L192,-1.00,11.45,-0.51,15,18,0.101,paired_t,0.403,-0.09,
L193,-0.90,9.31,-0.50,16,17,0.640,paired_t,0.3909,-0.10,
L194,+1.78,5.55,+1.90,20,13,0.028,wilcoxon,0.0424,,-0.35
L195,+0.21,5.49,+0.28,17,16,0.639,paired_t,0.9067,0.04,
L196,-0.72,6.61,-1.28,13,20,0.134,paired_t,0.35,-0.11,
L197,+1.72,7.49,+1.09,21,12,0.510,paired_t,0.4326,0.23,
L198,+0.86,5.07,+0.27,19,14,0.311,paired_t,0.371,0.17,
L199,+0.70,5.10,+0.68,20,13,0.408,paired_t,0.4451,0.14,
L200,+0.28,6.25,+1.15,18,15,0.087,paired_t,0.8204,0.04,
L201,+0.12,4.55,-0.10,15,18,0.869,paired_t,0.9165,0.03,
L202,+1.69,13.12,+0.71,18,15,0.000,wilcoxon,0.805,,-0.04
L203,+0.68,10.85,+0.27,17,16,0.011,wilcoxon,0.9578,,-0.01
L204,+0.76,8.60,-0.03,16,17,0.061,paired_t,0.5172,0.09,
L205,+0.79,9.41,+2.26,20,13,0.341,paired_t,0.8203,0.08,
L206,-0.72,6.41,-1.23,15,18,0.544,paired_t,0.6897,-0.11,
L207,-0.19,6.52,+0.97,17,16,0.325,paired_t,0.5392,-0.03,
L208,+0.42,10.09,+0.69,19,14,0.049,wilcoxon,0.7778,,-0.05
L209,-0.65,6.07,+0.75,19,14,0.128,paired_t,0.4942,-0.11,
